ID,Rooms,Area_sqm,Ceiling_Height,Price_per_month,Bathrooms,Metro_Numeric,Parking_Numeric
273973191,3,120.0,3.0,130000.0,1,103000.0,52201.68764172336
273999490,3,80.0,2.8,100000.0,1,103000.0,48775.18175363862
274995950,2,30.0,2.71,120000.0,1,107142.85714285714,48775.18175363862
271265359,2,60.0,3.2,90000.0,1,103000.0,49131.74122236671
273779074,2,60.0,3.6,120000.0,1,103000.0,48775.18175363862
274217247,3,103.0,3.8,120000.0,1,103000.0,48775.18175363862
274199925,3,100.0,2.71,115000.0,1,107142.85714285714,48775.18175363862
274528249,1,45.0,2.8,120000.0,1,107142.85714285714,49131.74122236671
274431438,3,65.0,3.2,130000.0,1,103000.0,49131.74122236671
274319903,3,75.0,2.8,99000.0,1,103000.0,52201.68764172336
273427928,3,87.0,2.8,100000.0,1,103000.0,48775.18175363862
274066192,2,52.0,2.65,80000.0,1,103000.0,49131.74122236671
273763131,3,91.0,2.71,95000.0,1,103000.0,48775.18175363862
273684904,2,56.0,2.65,105000.0,1,103000.0,49131.74122236671
271542995,3,80.0,3.2,120000.0,1,103000.0,49131.74122236671
274009456,2,53.0,3.2,80000.0,1,103000.0,48775.18175363862
274723871,2,53.0,2.5,80000.0,1,103000.0,49131.74122236671
274548003,2,60.0,2.71,90000.0,1,107142.85714285714,49131.74122236671
229808794,1,30.0,2.71,95000.0,1,107142.85714285714,49131.74122236671
274903280,3,80.0,2.8,100000.0,1,103000.0,48775.18175363862
271439388,3,68.0,2.8,100000.0,1,103000.0,49131.74122236671
273474991,2,55.0,2.8,105000.0,1,78333.33333333333,52201.68764172336
274135582,2,55.0,3.2,110000.0,1,103000.0,49131.74122236671
271249218,2,65.0,3.0,130000.0,1,103000.0,75542.34826762247
274686779,3,76.0,2.74,60000.0,1,37202.38095238096,48775.18175363862
274862000,1,35.3,2.6,36000.0,1,44617.63313609467,48775.18175363862
274747534,2,71.7,2.7,55000.0,1,44617.63313609467,48775.18175363862
273551383,1,41.2,2.65,36000.0,1,45477.27272727273,48775.18175363862
273693111,3,70.0,2.4,65000.0,2,48407.142857142855,49131.74122236671
273510895,1,40.0,2.74,30000.0,1,37202.38095238096,48775.18175363862
265111957,2,57.0,2.64,45000.0,1,45477.27272727273,49131.74122236671
267761830,1,42.0,2.85,35000.0,1,45477.27272727273,48775.18175363862
271601843,3,68.0,2.6,48000.0,1,48407.142857142855,48775.18175363862
275004836,3,82.0,2.65,55000.0,1,48407.142857142855,48775.18175363862
273907511,1,41.0,2.64,29999.0,1,42034.3515625,49131.74122236671
235355662,1,37.0,3.0,38000.0,1,45477.27272727273,48775.18175363862
268903569,3,87.0,2.7,80000.0,2,46280.635897435895,48775.18175363862
274794055,3,84.0,2.65,95000.0,1,44617.63313609467,48775.18175363862
274455296,1,38.0,2.85,28000.0,1,45477.27272727273,48775.18175363862
274838267,1,38.0,2.74,28000.0,1,37202.38095238096,48775.18175363862
274905945,1,35.0,2.64,29000.0,1,44617.63313609467,49131.74122236671
273089522,1,30.0,3.1,30000.0,1,44617.63313609467,49131.74122236671
272169225,1,38.0,2.74,30000.0,1,37202.38095238096,49131.74122236671
274177400,1,40.0,2.64,30000.0,1,37202.38095238096,48775.18175363862
273379337,1,38.0,2.64,30000.0,1,48407.142857142855,49131.74122236671
274164058,1,38.0,2.71,32000.0,1,48407.142857142855,48775.18175363862
273764363,1,42.4,2.65,32000.0,1,45477.27272727273,48775.18175363862
274173656,1,44.7,2.71,35000.0,1,48407.142857142855,49131.74122236671
274063411,2,58.0,2.64,36000.0,1,37202.38095238096,49131.74122236671
236543080,1,36.0,2.71,38000.0,1,44617.63313609467,48775.18175363862
256888072,1,42.0,2.75,38000.0,1,45477.27272727273,49131.74122236671
271083068,1,41.2,2.71,40000.0,1,45477.27272727273,48775.18175363862
274622371,2,64.0,2.74,40000.0,1,45477.27272727273,48775.18175363862
274917579,2,55.0,2.85,40000.0,1,48407.142857142855,49131.74122236671
274922675,1,35.0,2.85,40000.0,1,45477.27272727273,49131.74122236671
274482454,2,63.8,2.65,40000.0,1,48407.142857142855,49131.74122236671
274099537,2,67.0,2.85,43000.0,1,45477.27272727273,48775.18175363862
274632558,3,56.0,2.64,45000.0,1,44617.63313609467,48775.18175363862
273080406,3,75.0,2.71,45000.0,1,48407.142857142855,49131.74122236671
273202959,2,55.0,3.0,47000.0,1,45477.27272727273,49131.74122236671
270816267,3,82.0,2.65,65000.0,1,45477.27272727273,48775.18175363862
274580039,2,70.0,2.71,70000.0,1,44617.63313609467,48775.18175363862
274945662,1,40.0,2.75,26000.0,1,45477.27272727273,48775.18175363862
228335421,1,31.0,2.71,27000.0,1,44617.63313609467,49131.74122236671
256834307,1,35.0,2.71,29000.0,1,48288.88888888889,49131.74122236671
274687179,1,27.0,2.85,30000.0,1,45477.27272727273,48775.18175363862
230487451,1,40.0,2.74,30000.0,1,44617.63313609467,48775.18175363862
273476724,1,32.0,2.71,30000.0,1,46280.635897435895,48775.18175363862
242234098,1,45.0,2.85,30000.0,1,45477.27272727273,48775.18175363862
274831384,1,42.0,2.7,33000.0,1,48407.142857142855,49131.74122236671
274091308,1,39.0,3.0,33500.0,1,45477.27272727273,48775.18175363862
